index,Unnamed: 0,Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
1950,988,white chocolate chip,0.888888888889 cup white chocolate chips,Misc_63,,0.888888889,cup
1951,989,semisweet chocolate chip,2.4 cups semisweet chocolate chips nestlÃ© canât really be beat,Misc_64,,2.4,cup
1952,990,semisweet chocolate chip,13.0 ounce package of chocolate chips,Misc_65,,1.625,cup
1953,991,dark chocolate chip,"2.4 sticks unsalted butter, at room temperature 1 cup packed dark brown sugar 1/2.4 cup granulated sugar 1 teaspoon vanilla extract 1 large egg 2.4 3/4 cups all purpose flour kosher salt 1 1/4 teaspoons baking soda 12.4 ounces semisweet chocolate chips",Misc_66,,2.4,cup
1954,992,semisweet chocolate chip,2.0 cup 170 g semisweet chocolate chips,Misc_68,,2.0,cup
1955,993,semisweet chocolate chip,3.0 cup chocolate chips i use a combination of chocolate chips and chocolate chunks,Misc_69,,3.0,cup
1956,994,semisweet chocolate chip,4.61538461538 cups chocolate chips*,Misc_71,,4.615384615,cup
1957,995,dark chocolate chip,2.5 cups 60 percent dark chocolate chips,Misc_73,,2.5,cup
1958,996,dark chocolate chip,4.0 cups semi sweet or dark chocolate chips,Misc_76,,4.0,cup
1959,997,semisweet chocolate chip,2.4 cup | 200g chocolate chips,Misc_78,,2.4,cup
1960,998,milk chocolate chip,4.36363636364  ounce milk chocolate bar,Misc_8,,0.537,cup
1961,999,semisweet chocolate chip,10.4727272727 ounces chocolate chips,Misc_8,,1.309090909,cup
1962,1000,semisweet chocolate chip,2.0  3/4 cup semi sweet chocolate chips,Misc_80,,2.0,cup
1963,1001,semisweet chocolate chip,2.66666666667 cup semisweet chocolate chips,Misc_81,,2.666666667,cup
1964,1002,semisweet chocolate chip,2.28571428571 cup chocolate chips,Misc_82,,2.285714286,cup
1965,1003,semisweet chocolate chip,4.61538461538 cups chocolate chips,Misc_84,,4.615384615,cup
1966,1004,semisweet chocolate chip,2.66666666667 cups semi sweet chocolate chips,Misc_85,,2.666666667,cup
1967,1005,semisweet chocolate chip,4.0 cup semisweet chocolate chips,Misc_86,,4.0,cup
1968,1006,semisweet chocolate chip,3.42857142857 cup chocolate chips,Misc_89,,3.428571429,cup
